City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Hithadhoo,MV,83.59,overcast clouds,-0.6,73.0833,Scoop Guest House
6,Kavaratti,IN,83.98,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
7,Beyneu,KZ,78.57,overcast clouds,45.3167,55.2,NUR
16,Batticaloa,LK,82.83,overcast clouds,7.7102,81.6924,Grand Star Guest House
18,La Libertad,EC,76.66,broken clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
28,Bud,US,76.73,moderate rain,39.446999999999996,-86.1758,Ted McQuinn Trust
33,Springfield,US,78.53,few clouds,37.2153,-93.2982,University Plaza Hotel & Convention Center
34,Tainan,TW,89.15,broken clouds,22.9908,120.2133,Tie Dao Hotel
35,Garden City,US,78.89,broken clouds,42.3256,-83.331,Quality Inn & Suites Banquet Center
38,Pailon,BO,85.68,overcast clouds,-17.65,-62.75,Alojamiento pailon
41,Mindelo,CV,76.55,few clouds,16.8901,-24.9804,Hotel Gaudi
42,Camacari,BR,82.17,broken clouds,-12.6975,-38.3242,Hotel Cambuci
46,Ciudad Bolivar,VE,87.42,overcast clouds,8.1222,-63.5497,Hotel Edi
56,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
58,Hami,CN,80.71,scattered clouds,42.8,93.45,Laoyutang Resort
59,Kirakira,SB,79.16,overcast clouds,-10.4544,161.9205,SanBiz Lodge
60,Trairi,BR,85.17,clear sky,-3.2778,-39.2689,janelas do mar
68,Kesinga,IN,85.17,broken clouds,20.2,83.2333,HOTEL JAYASHREE
74,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
75,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
77,Albany,US,75.88,overcast clouds,42.6001,-73.9662,
78,Ixtapa,MX,83.43,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
80,Sinnamary,GF,81.5,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
83,Arraial Do Cabo,BR,84.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
92,Paragominas,BR,83.57,overcast clouds,-2.9667,-47.4833,.
94,San Policarpo,PH,79.77,overcast clouds,12.1791,125.5072,JM Lodge
95,Hambantota,LK,80.94,broken clouds,6.1241,81.1185,Bungalow 63
100,Vallenar,CL,77.92,broken clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
106,Morant Bay,JM,85.62,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
107,Saint Anthony,US,89.74,clear sky,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
108,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
109,Faya,SA,79.32,clear sky,18.3851,42.4509,مقبرة ال مجمل
111,Natal,BR,84.85,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
112,Butaritari,KI,82.63,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
115,Tezu,IN,76.55,overcast clouds,27.9167,96.1667,Circuit House
116,Nioro,GM,91.96,overcast clouds,13.35,-15.75,
117,Hilo,US,77.4,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
122,Hot Springs,US,79.63,scattered clouds,34.5037,-93.0552,Embassy Suites by Hilton Hot Springs Hotel & Spa
123,Tamale,GH,91.69,clear sky,9.4008,-0.8393,Tap Hotel
129,Luganville,VU,75.38,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
135,Kavieng,PG,81.39,light rain,-2.5744,150.7967,Nusa Island Retreat
139,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
145,Bambous Virieux,MU,75.45,light rain,-20.3428,57.7575,Casa Tia Villa
146,Illapel,CL,77.67,overcast clouds,-31.6308,-71.1653,Hotel Londres
147,Pemberton,CA,76.69,overcast clouds,50.3164,-122.8027,Pemberton Valley Lodge
152,Auki,SB,76.96,overcast clouds,-8.7676,160.7034,Auki Motel
153,Tahlequah,US,78.26,clear sky,35.9154,-94.97,Tahlequah Motor Lodge
155,Milton,US,86.9,overcast clouds,34.1322,-84.3007,Children's Cottage Montessori
157,Nouadhibou,MR,75.18,sand,20.930999999999997,-17.0347,El Medina
158,Kampot,KH,81.01,broken clouds,10.6167,104.1833,Two Moons Hotel
161,Shwebo,MM,83.21,overcast clouds,22.5667,95.7,MOON SHINE Guest House
165,Atuona,PF,79.05,light rain,-9.8,-139.0333,Villa Enata
170,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
171,Vila Velha,BR,84.96,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
177,Buin,CL,76.05,overcast clouds,-33.7333,-70.75,Paihuen
180,Padre Bernardo,BR,88.21,clear sky,-15.35,-48.5,
182,Athabasca,CA,77.41,overcast clouds,54.7169,-113.2854,Athabasca Lodge Motel
185,Bobo Dioulasso,BF,77.45,clear sky,11.1771,-4.2979,RAN Hotel Somketa
187,Mundo Nuevo,MX,87.01,few clouds,18.7,-95.5,
189,Cockburn Town,TC,79.86,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
190,Jataizinho,BR,84.78,few clouds,-23.2542,-50.98,Hotel Água Branca
191,Kieta,PG,78.67,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
192,Baglan,AF,86.05,clear sky,36.1307,68.7083,Habibullah MOsazai
193,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
194,Lorengau,PG,79.47,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
196,Tamandare,BR,79.77,few clouds,-8.7597,-35.1047,Pousada 100 Passos
198,Ocosingo,MX,84.15,scattered clouds,17.0667,-92.25,Chabek lumil
206,Bengkulu,ID,78.57,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
209,Lompoc,US,77.02,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
211,Assiniboia,CA,87.71,clear sky,49.6334,-105.9845,Canalta Hotel Assiniboia
213,Axim,GH,81.19,scattered clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
214,Namatanai,PG,79.38,light rain,-3.6667,152.4333,Namatanai Hotel
217,Marzuq,YE,78.42,scattered clouds,14.4,46.4667,
218,Wadi Maliz,TN,80.26,overcast clouds,36.4681,8.5495,HOPITAL
220,Thanh Hoa,VN,85.55,overcast clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
222,Umm Lajj,SA,84.33,clear sky,25.0213,37.2685,Moon light Furnished Units
231,Ilheus,BR,84.02,few clouds,-14.7889,-39.0494,Barravento Hotel
236,Mount Pleasant,US,81.99,broken clouds,32.7941,-79.8626,Best Western Patriots Point
240,Itarema,BR,82.35,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
241,Mana,GF,81.73,moderate rain,5.6592,-53.7767,LE SAMANA
242,Sokoni,TZ,78.46,few clouds,-6.4333,39.55,Ujamaa Beach Resort
244,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
249,Mahebourg,MU,75.49,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
250,Le Vauclin,MQ,84.33,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
252,Male,MV,84.15,broken clouds,4.1748,73.5089,Hotel Octave Maldives
