,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Bredasdorp,-34.5322,20.0403,58.28,77,100,4.9,ZA,overcast clouds
1,Nikolskoye,59.7035,30.7861,69.69,75,44,5.1,RU,scattered clouds
2,Ushuaia,-54.8,-68.3,35.22,86,0,5.75,AR,clear sky
3,Irtyshskiy,58.3333,68.1333,40.14,86,1,5.68,RU,clear sky
4,Hithadhoo,-0.6,73.0833,83.59,70,100,18.12,MV,overcast clouds
5,Kruisfontein,-34.0033,24.7314,47.88,71,3,4.09,ZA,clear sky
6,Kavaratti,10.5669,72.642,83.98,76,100,18.25,IN,light rain
7,Beyneu,45.3167,55.2,78.57,51,96,20.6,KZ,overcast clouds
8,Tuktoyaktuk,69.4541,-133.0374,41.0,75,90,10.36,CA,overcast clouds
9,Iranshahr,27.2025,60.6848,106.14,20,0,6.91,IR,clear sky
10,Hermanus,-34.4187,19.2345,58.89,82,98,10.13,ZA,overcast clouds
11,Rocha,-34.4833,-54.3333,58.5,60,20,7.02,UY,few clouds
12,Awbari,26.5921,12.7805,98.56,11,10,9.89,LY,clear sky
13,Tasiilaq,65.6145,-37.6368,41.16,80,51,5.75,GL,broken clouds
14,Chokurdakh,70.6333,147.9167,54.28,70,100,9.69,RU,overcast clouds
15,Izhma,65.0083,53.9113,53.01,53,0,7.38,RU,clear sky
16,Batticaloa,7.7102,81.6924,82.83,73,100,0.65,LK,overcast clouds
17,Upernavik,72.7868,-56.1549,35.73,73,10,4.45,GL,clear sky
18,La Libertad,-2.2333,-80.9,76.66,73,75,10.63,EC,broken clouds
19,Mocuba,-16.8392,36.9856,67.21,98,100,4.45,MZ,moderate rain
20,Sudislavl,57.8817,41.7083,50.95,74,24,6.13,RU,few clouds
21,Bluff,-46.6,168.3333,49.8,84,100,10.89,NZ,light rain
22,Sao Filipe,14.8961,-24.4956,74.14,77,8,12.5,CV,clear sky
23,Sinegorye,62.0788,150.477,44.38,78,100,2.98,RU,light rain
24,Ostrovnoy,68.0531,39.5131,65.41,50,8,11.14,RU,clear sky
25,Rikitea,-23.1203,-134.9692,72.66,68,100,14.94,PF,overcast clouds
26,Codrington,-38.2667,141.9667,51.33,67,9,15.75,AU,clear sky
27,Mount Gambier,-37.8333,140.7667,49.91,87,90,9.22,AU,overcast clouds
28,Bud,39.447,-86.1758,76.73,84,100,6.04,US,moderate rain
29,Leningradskiy,69.3833,178.4167,28.99,83,62,6.4,RU,broken clouds
30,Kefamenanu,-9.4467,124.4781,71.74,89,97,3.42,ID,overcast clouds
31,Fort Nelson,58.8053,-122.7002,72.99,23,40,9.22,CA,scattered clouds
32,Ponta Delgada,37.7333,-25.6667,65.12,68,40,11.5,PT,scattered clouds
33,Springfield,37.2153,-93.2982,78.53,58,20,4.0,US,few clouds
34,Tainan,22.9908,120.2133,89.15,78,75,5.75,TW,broken clouds
35,Garden City,42.3256,-83.331,78.89,66,75,1.99,US,broken clouds
36,Pisco,-13.7,-76.2167,68.05,64,75,9.22,PE,broken clouds
37,Jamestown,42.097,-79.2353,68.07,85,90,7.0,US,light rain
38,Pailon,-17.65,-62.75,85.68,41,100,10.49,BO,overcast clouds
39,Punta Arenas,-53.15,-70.9167,37.42,93,90,9.69,CL,light rain
40,Busselton,-33.65,115.3333,49.08,84,27,4.34,AU,scattered clouds
41,Mindelo,16.8901,-24.9804,76.55,65,20,20.6,CV,few clouds
42,Camacari,-12.6975,-38.3242,82.17,74,79,8.28,BR,broken clouds
43,Paamiut,61.994,-49.6678,36.28,71,99,9.24,GL,overcast clouds
44,Petropavlovsk-Kamchatskiy,53.0452,158.6483,43.39,76,14,11.88,RU,few clouds
45,Iqaluit,63.7506,-68.5145,33.53,69,75,10.0,CA,broken clouds
46,Ciudad Bolivar,8.1222,-63.5497,87.42,53,100,8.12,VE,overcast clouds
47,Barrow,71.2906,-156.7887,30.22,80,90,17.27,US,overcast clouds
48,Mataura,-46.1927,168.8643,49.48,92,86,3.38,NZ,light rain
49,Vaini,-21.2,-175.2,68.16,94,75,0.0,TO,broken clouds
50,Kasempa,-13.4584,25.8338,66.15,41,85,4.07,ZM,overcast clouds
51,Cape Town,-33.9258,18.4232,60.12,81,0,2.93,ZA,clear sky
52,Rawicz,51.6095,16.8585,70.02,75,2,7.99,PL,clear sky
53,Tongliao,43.6125,122.2653,54.34,62,69,5.86,CN,broken clouds
54,Bodmin,50.4715,-4.7243,59.45,67,0,6.73,GB,clear sky
55,Nacala,-14.5428,40.6728,72.75,82,4,4.14,MZ,clear sky
56,Maceio,-9.6658,-35.7353,80.04,78,75,8.9,BR,broken clouds
57,Sundumbili,-29.1337,31.3975,55.71,83,100,18.57,ZA,light rain
58,Hami,42.8,93.45,80.71,11,41,3.51,CN,scattered clouds
59,Kirakira,-10.4544,161.9205,79.16,88,100,8.3,SB,overcast clouds
60,Trairi,-3.2778,-39.2689,85.17,60,0,11.45,BR,clear sky
61,Taltal,-25.4,-70.4833,63.12,81,49,5.86,CL,scattered clouds
62,Ancud,-41.8697,-73.8203,55.42,87,100,12.37,CL,overcast clouds
63,Narsaq,60.9167,-46.05,52.02,72,100,6.04,GL,overcast clouds
64,Cabo San Lucas,22.8909,-109.9124,100.81,45,1,9.22,MX,clear sky
65,Nanortalik,60.1432,-45.2371,36.95,90,100,13.02,GL,overcast clouds
66,Yellowknife,62.456,-114.3525,63.12,55,75,8.05,CA,light rain
67,Los Llanos De Aridane,28.6585,-17.9182,64.15,95,75,13.69,ES,broken clouds
68,Kesinga,20.2,83.2333,85.17,62,66,4.03,IN,broken clouds
69,Beringovskiy,63.05,179.3167,34.21,83,99,3.8,RU,overcast clouds
70,Qaanaaq,77.484,-69.3632,29.79,77,23,2.84,GL,few clouds
71,Westport,41.1415,-73.3579,70.41,92,100,1.99,US,overcast clouds
72,Kabrai,25.4167,80.0167,95.97,27,32,5.88,IN,scattered clouds
73,Baie-Comeau,49.2168,-68.1489,69.8,52,20,10.42,CA,few clouds
74,Puerto Ayora,-0.7393,-90.3518,78.76,86,61,7.0,EC,broken clouds
75,Kapaa,22.0752,-159.319,80.58,85,75,9.35,US,light rain
76,Cidreira,-30.1811,-50.2056,65.05,65,8,5.73,BR,clear sky
77,Albany,42.6001,-73.9662,75.88,74,99,3.0,US,overcast clouds
78,Ixtapa,20.7,-105.2,83.43,74,90,2.3,MX,overcast clouds
79,Constantine,36.365,6.6147,72.81,68,75,11.5,DZ,broken clouds
80,Sinnamary,5.3833,-52.95,81.5,83,84,10.4,GF,broken clouds
81,Thaba-Tseka,-29.522,28.6084,26.37,92,36,4.81,LS,scattered clouds
82,East London,-33.0153,27.9116,59.94,67,40,4.61,ZA,scattered clouds
83,Arraial Do Cabo,-22.9661,-42.0278,84.16,54,0,8.05,BR,clear sky
84,Kedrovyy,56.1667,91.8167,61.21,96,100,6.64,RU,moderate rain
85,Guerrero Negro,27.9769,-114.0611,73.85,51,11,10.04,MX,few clouds
86,Bethel,41.3712,-73.414,69.42,89,90,5.75,US,overcast clouds
87,Aktash,50.3,87.7333,48.69,78,95,3.04,RU,light rain
88,Zavodouspenskoye,56.8626,65.0155,55.62,55,50,10.8,RU,scattered clouds
89,Namikupa,-10.8333,39.6,66.83,98,36,1.23,TZ,scattered clouds
90,Berlevag,70.8578,29.0864,66.15,39,0,13.8,NO,clear sky
91,Airai,-8.9266,125.4092,57.76,91,45,2.62,TL,scattered clouds
92,Paragominas,-2.9667,-47.4833,83.57,70,93,2.64,BR,overcast clouds
93,Namibe,-15.1961,12.1522,71.13,88,21,8.59,AO,few clouds
94,San Policarpo,12.1791,125.5072,79.77,83,100,3.33,PH,overcast clouds
95,Hambantota,6.1241,81.1185,80.94,94,75,15.9,LK,broken clouds
96,Kaitangata,-46.2817,169.8464,46.92,83,100,4.99,NZ,overcast clouds
97,Buraydah,26.326,43.975,102.65,11,63,9.13,SA,broken clouds
98,Ilulissat,69.2167,-51.1,39.22,81,20,6.91,GL,few clouds
99,Ponta Do Sol,32.6667,-17.1,67.12,50,65,5.03,PT,broken clouds
100,Vallenar,-28.5708,-70.7581,77.92,33,53,6.42,CL,broken clouds
101,Ribeira Grande,38.5167,-28.7,66.6,59,20,10.36,PT,few clouds
102,Port Elizabeth,-33.918,25.5701,50.09,87,40,3.44,ZA,scattered clouds
103,Carahue,-38.7,-73.1667,59.2,94,100,7.78,CL,overcast clouds
104,Port Alfred,-33.5906,26.891,56.88,65,49,1.74,ZA,scattered clouds
105,New Norfolk,-42.7826,147.0587,51.58,58,98,7.36,AU,overcast clouds
106,Morant Bay,17.8815,-76.4093,85.62,69,56,12.55,JM,broken clouds
107,Saint Anthony,45.0205,-93.218,89.74,29,1,3.44,US,clear sky
108,Olinda,-8.0089,-34.8553,78.53,73,40,10.13,BR,scattered clouds
109,Faya,18.3851,42.4509,79.32,15,7,11.9,SA,clear sky
110,Mount Isa,-20.7333,139.5,53.37,76,97,5.75,AU,overcast clouds
111,Natal,-5.795,-35.2094,84.85,58,40,13.89,BR,scattered clouds
112,Butaritari,3.0707,172.7902,82.63,75,100,13.94,KI,overcast clouds
113,Avarua,-21.2078,-159.775,73.45,88,75,5.75,CK,light rain
