City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nipawin,CA,2021-06-02 21:00:14,53.3668,-104.0009,81.99,41,88,13.35
1,Alofi,NU,2021-06-02 21:00:15,-19.0595,-169.9187,78.37,73,100,8.75
2,Rikitea,PF,2021-06-02 21:00:15,-23.1203,-134.9692,72.09,65,69,17.4
3,Ribeira Grande,PT,2021-06-02 21:00:15,38.5167,-28.7,60.28,63,23,8.61
4,Charters Towers,AU,2021-06-02 21:00:16,-20.1,146.2667,60.4,94,67,7.0
5,Villazon,BO,2021-06-02 21:00:16,-22.0866,-65.5942,59.02,10,32,11.54
6,Cape Town,ZA,2021-06-02 20:57:43,-33.9258,18.4232,62.11,76,0,1.99
7,Tiksi,RU,2021-06-02 21:00:16,71.6872,128.8694,46.94,91,100,10.29
8,Bluff,NZ,2021-06-02 21:00:17,-46.6,168.3333,49.8,83,98,9.28
9,Oildale,US,2021-06-02 20:59:57,35.4197,-119.0195,105.58,17,54,3.0
10,Pevek,RU,2021-06-02 21:00:17,69.7008,170.3133,34.0,73,33,2.39
11,Tigzirt,DZ,2021-06-02 21:00:17,36.8886,4.1198,68.9,67,94,5.97
12,Mataura,NZ,2021-06-02 21:00:18,-46.1927,168.8643,49.48,96,39,2.84
13,Paamiut,GL,2021-06-02 21:00:18,61.994,-49.6678,37.18,97,100,11.9
14,Maningrida,AU,2021-06-02 21:00:18,-12.0667,134.2667,69.39,88,25,7.87
15,Sept-Iles,CA,2021-06-02 20:57:33,50.2001,-66.3821,65.25,54,75,5.01
16,Avarua,CK,2021-06-02 21:00:19,-21.2078,-159.775,78.85,69,54,10.36
17,Ardabil,IR,2021-06-02 21:00:19,38.2498,48.2933,70.25,24,0,16.51
18,Qaanaaq,GL,2021-06-02 21:00:19,77.484,-69.3632,27.93,80,99,3.11
19,Windhoek,NA,2021-06-02 21:00:20,-22.5594,17.0832,52.11,32,0,6.85
20,Ushuaia,AR,2021-06-02 21:00:20,-54.8,-68.3,24.19,95,26,5.01
21,La Palma,US,2021-06-02 21:00:21,33.8464,-118.0467,103.75,67,96,7.0
22,Nouakchott,MR,2021-06-02 21:00:21,18.0858,-15.9785,73.33,66,86,21.14
23,Butaritari,KI,2021-06-02 21:00:22,3.0707,172.7902,82.76,79,100,14.52
24,Norman Wells,CA,2021-06-02 21:00:22,65.282,-126.8329,48.04,75,100,3.78
25,Ihosy,MG,2021-06-02 21:00:23,-22.4,46.1167,62.35,95,76,6.87
26,Kapaa,US,2021-06-02 21:00:23,22.0752,-159.319,82.38,72,58,1.99
27,Puerto Ayora,EC,2021-06-02 21:00:24,-0.7393,-90.3518,77.56,80,89,5.99
28,Katsuura,JP,2021-06-02 21:00:25,35.1333,140.3,68.18,78,6,9.55
29,Atuona,PF,2021-06-02 21:00:25,-9.8,-139.0333,80.35,71,99,16.2
30,Bagli,IN,2021-06-02 21:00:26,22.65,76.35,85.78,36,95,4.12
31,Buena Vista,US,2021-06-02 21:00:27,43.4203,-83.8986,77.05,50,75,10.36
32,Vulcan,RO,2021-06-02 21:00:27,45.3833,23.2667,45.7,92,99,4.38
33,Georgetown,MY,2021-06-02 21:00:15,5.4112,100.3354,81.9,86,20,3.62
34,Radishchevo,RU,2021-06-02 21:00:27,52.85,47.8833,52.99,71,72,15.28
35,Busselton,AU,2021-06-02 21:00:28,-33.65,115.3333,59.94,71,100,2.55
36,Jiuquan,CN,2021-06-02 21:00:28,39.7432,98.5174,53.91,15,4,6.53
37,Kokoda,PG,2021-06-02 21:00:29,-8.8785,147.7407,73.85,93,46,2.46
38,Lagunas,PE,2021-06-02 21:00:29,-5.2269,-75.6753,85.44,65,77,0.22
39,Vaini,TO,2021-06-02 21:00:30,-21.2,-175.2,73.02,63,68,10.98
40,New Norfolk,AU,2021-06-02 21:00:31,-42.7826,147.0587,54.88,78,79,2.44
41,Aasiaat,GL,2021-06-02 21:00:31,68.7098,-52.8699,37.17,72,12,9.64
42,Bjerkvik,NO,2021-06-02 21:00:32,68.5597,17.5189,60.62,46,12,3.8
43,Cherskiy,RU,2021-06-02 21:00:32,68.75,161.3,57.18,31,23,9.55
44,Port Macquarie,AU,2021-06-02 21:00:33,-31.4333,152.9167,51.39,75,97,6.35
45,Palestine,PS,2021-06-02 21:00:34,31.9216,35.2033,63.36,87,0,5.21
46,Lagoa,PT,2021-06-02 21:00:34,39.05,-27.9833,59.61,64,36,7.72
47,Palmas,BR,2021-06-02 21:00:35,-10.2128,-48.3603,81.46,48,12,3.56
48,Constantine,DZ,2021-06-02 21:00:35,36.365,6.6147,67.44,79,74,1.12
49,Hilo,US,2021-06-02 21:00:35,19.7297,-155.09,79.79,81,63,5.01
50,Barrow,US,2021-06-02 21:00:03,71.2906,-156.7887,30.78,83,100,19.01
51,Luganville,VU,2021-06-02 21:00:36,-15.5333,167.1667,76.8,78,91,9.75
52,Hithadhoo,MV,2021-06-02 21:00:37,-0.6,73.0833,83.48,68,96,18.12
53,Bethel,US,2021-06-02 20:57:05,41.3712,-73.414,74.08,69,100,7.87
54,Kodiak,US,2021-06-02 21:00:37,57.79,-152.4072,46.27,87,93,6.87
55,Skibbereen,IE,2021-06-02 21:00:38,51.55,-9.2667,57.0,98,92,2.8
56,Vostok,RU,2021-06-02 21:00:38,46.4856,135.8833,47.89,97,100,5.26
57,Albany,US,2021-06-02 20:58:49,42.6001,-73.9662,72.25,80,100,3.76
58,Punta Arenas,CL,2021-06-02 20:58:04,-53.15,-70.9167,33.82,69,20,4.72
59,Harvard,US,2021-06-02 21:00:39,42.4222,-88.6137,78.78,38,58,5.14
60,Korla,CN,2021-06-02 21:00:39,41.7597,86.1469,78.39,22,3,8.63
61,Igarka,RU,2021-06-02 21:00:40,67.4667,86.5833,33.35,100,100,3.15
